File	Name	Slot	Script
banditcy	Ruffian	Slot 600	agrandbr
basilmut	Greater Basilisk	Slot 592	agrandbr
basilnad	Greater Basilisk	Slot 592	agrandbr
daerragh	Daer'Ragh	Slot 600	agrandrb
daesewlf	Daese	Slot 584	agrandlx
duplica1	Mirror Fiend	Slot 584	agrandrb
duplica2	Mirror Fiend	Slot 592	agrandrb
duplica3	Mirror Fiend	Slot 592	agrandbr
duplica4	Mirror Fiend	Slot 592	agrandrb
duplica5	Mirror Fiend	Slot 592	agrandrb
duplica6	Mirror Fiend	Slot 592	agrandrb
flambrid	Flaming Fist Mercenary	Slot 600	agrandbr
flamhusb	Flaming Fist Enforcer	Slot 608	agrandrb
flampun2	Flaming Fist Enforcer	Slot 584	agrandrb
gatewere	Gatekeeper	Slot 592	agrandrp
ghoullor	Greater Ghoul	Slot 592	agrandrb
gnollper	Gnoll	Slot 592	agrandrb
gooddeat	Mirror Fiend	Slot 592	agrandbr
hobelite	Hobgoblin Elite	Slot 592	agrandrg
hobgoa_a	Hobgoblin	Slot 592	agrandrb
hobgoa_b	Hobgoblin	Slot 592	agrandrb
hobgoa_c	Hobgoblin	Slot 592	agrandrb
hobgoa_d	Hobgoblin	Slot 592	agrandrb
hobgoa_e	Hobgoblin	Slot 592	agrandrb
hobgob_a	Hobgoblin	Slot 592	agrandsw
hobgob_b	Hobgoblin	Slot 592	agrandrb
hobgob_c	Hobgoblin	Slot 592	agrandrp
hobgob_d	Hobgoblin	Slot 592	agrandrp
hobgob_e	Hobgoblin	Slot 592	agrandbr
hobgzhur	Hobgoblin	Slot 592	agrandrb
ironelit	Blacktalon Elite	Slot 600	agrandbr
ironguar	Guard	Slot 600	agrandrb
kaishwlf	Kaishas Gan	Slot 584	agrandbr
knightsk	Undead Knight	Slot 592	agrandrb
kobola_e	Kobold	Slot 592	agrandrb
kobold_d	Kobold	Slot 592	agrandbr
kobold_e	Kobold	Slot 592	agrandbr
koboldab	Kobold	Slot 592	agrandcl
koboldal	Kobold	Slot 592	agrandrb
koboldfl	Kobold	Slot 592	agrandbr
ogreberz	Ogre Berserker	Slot 592	agrandrb
ogrebjor	Half Ogre	Slot 584	agrandrb
ogregr_b	Ogrillon	Slot 592	agrandrb
ogregr_c	Ogrillon	Slot 592	agrandnc
ogregr_d	Ogrillon	Slot 592	agrandbr
ogreha_b	Half Ogre	Slot 592	agrandbr
ogrema_a	Ogre Mage	Slot 592	agrandbr
ogrema_b	Ogre Mage	Slot 592	agrandrb
ogrema_c	Ogre Mage	Slot 592	agrandrb
ogrema_d	Ogre Mage	Slot 592	agrandbr
ogrema02	Ogre Mage	Slot 592	agrandea
ogrema03	Ogre Mage	Slot 592	agrandrb
ogremiri	Ogrillon	Slot 592	agrandrb
ogreunsh	Ogre	Slot 592	agrandbr
pheoarch	Phoenix Guard	Slot 592	agrandbr
pheogurd	Phoenix Guard	Slot 592	agrandbr
sirine_a	Sirine	Slot 584	agrandrb
sirine_b	Sirine	Slot 584	agrandrb
sirine02	Sirine	Slot 608	agrandbr
skelet_b	Skeleton	Slot 592	agrandlx
skelet_c	Skeleton	Slot 592	agrandbr
skelet03	Skeleton	Slot 592	agrandcl
skelfire	Skeleton	Slot 592	agrandrb
skelpetr	Skeleton	Slot 592	agrandbr
skelwa02	Skeleton Warrior	Slot 592	agrandbr
skelwa03	Skeleton Warrior	Slot 592	agrandrb
taslgurk	Tasloi	Slot 592	agrandrb
zombie_c	Zombie	Slot 592	agrandbr
zombie_d	Zombie	Slot 592	agrandrb
zombie_e	Zombie	Slot 592	agrandbr
0xal2dg	Hooded Alchemist	Slot 600	agrandbr
0xalchdg	Hooded Man	Slot 600	agrandrb
0xbegdg	Beggar	Slot 592	agrandrb
0xcom1dg	Man	Slot 592	agrandbr
0xcom2dg	Man	Slot 592	agrandbr
0xcom3dg	Man	Slot 592	agrandbr
0xcom4dg	Man	Slot 592	agrandrb
0xcom5dg	Man	Slot 592	agrandrb
0xdreadg	Colour's Dream	Slot 592	agrandbr
0xelddg	Elder	Slot 600	agrandrb
0xgguadg	Guardian	Slot 608	agrandrg
0xgoldg	Envious Gold	Slot 592	agrandbr
0xguidg	Marble Gaze	Slot 592	agrandsw
0xindg	Man	Slot 592	agrandrb
0xlorddg	Lord of Black Dream	Slot 592	agrandrb
0xlov1dg	Gentle Touch	Slot 592	agrandrb
0xlov2dg	Temper Touch	Slot 592	agrandsw
0xm1dg	Hooded Alchemist	Slot 592	agrandbr
0xm2dg	Hooded Keeper	Slot 592	agrandbr
0xmandg	Troubled man	Slot 592	agrandbr
0xolddg	Senex	Slot 600	agrandsr
0xpridg	Hooded Priest	Slot 592	agrandrb
0xrguadg	Guardian	Slot 608	agrandbr
0xsguadg	Guardian	Slot 608	agrandrb
0xstdg	Silvertongue	Slot 592	agrandrb
0xthi2dg	Woman	Slot 592	agrandnc
0xuddg	Skeleton	Slot 592	agrandrg
0xwi2dg	Mysterious Wizard	Slot 592	agrandbr
0xwizdg	Mysterious Wizard	Slot 592	agrandrb
0xyhdg	Gray Victim	Slot 600	agrandbr
0xym1dg	Man wearing Yellow	Slot 592	agrandcl
0xym2dg	Man wearing Yellow	Slot 592	agrandrb
3303grd1	Riatavin Elite Warrior	Slot 600	agrandbr
3303grd2	Riatavin Elite Warrior	Slot 608	agrandrb
3303prst	Studying Monk	Slot 592	agrandrb
3307wiz	Avrabar	Slot 600	agrandbr
3308grd1	Mercenary	Slot 600	agrandrb
3308grd2	Mercenary	Slot 608	agrandbr
3308grd3	Mercenary	Slot 600	agrandrb
aataqah	Aataqah	Slot 592	agrandbr
abazdg02	Tamah	Slot 592	agrandbr
abazigal	Abazigal	Slot 592	agrandrb
abisred1	Abishai	Slot 592	agrandsh
abydem01	Tanar'ri	Slot 600	agrandrg
achen	Statue	Slot 600	agrandrb
acolyte1	Talon Zogas	Slot 592	agrandbr
acolyte2	Dawnbringer Alvanna	Slot 608	agrandcl
acolyte3	Watchknight Aabir	Slot 592	agrandrb
adadop1b	Doppelganger	Slot 592	agrandbr
adamag1	Amnian Guard	Slot 600	agrandrb
adamag2	Amnian Guard	Slot 600	agrandbr
adamara	Officer Amarant	Slot 592	agrandrb
adangma1	Caius Blackwater	Slot 592	agrandbr
adangma2	Lucius Blackwater	Slot 592	agrandsh
adangma3	Marcus Blackwater	Slot 584	agrandrb
adangma4	Mencius Blackwater	Slot 584	agrandrb
adangvam	Jiki-ketsu-gakki	Slot 592	agrandbr
adasg1	Thug	Slot 592	agrandbr
adasg2	Thug	Slot 592	agrandrb
adasgurz	Asgurz	Slot 592	agrandbr
adblack	Blackthorne	Slot 608	agrandrb
adginpac	Ginpachi	Slot 600	agrandrb
adguard	Guard	Slot 592	agrandbr
adhayate	Hayate	Slot 592	agrandrb
adkaede	Lady Kaede	Slot 592	agrandrb
admerch	Seline	Slot 592	agrandbr
admerz1	Yilli	Slot 600	agrandrb
admerz2	Senoj	Slot 592	agrandrb
admerz3	Akasha	Slot 592	agrandrb
admerz4	Bounty Hunter	Slot 592	agrandrb
admerz5	Bounty Hunter	Slot 592	agrandbr
admerzer	Desmond Merzer	Slot 600	agrandbr
adnin01	Master Ninja	Slot 592	agrandbr
adnin02	Master Ninja	Slot 592	agrandbr
adoli3	Bodyguard	Slot 592	agrandrg
adoliver	Oliver	Slot 592	agrandbr
adoyaji	Oyaji	Slot 592	agrandlx
adsakaki	Sakaki	Slot 592	agrandbr
adsawara	Sawara	Slot 592	agrandrb
adsuu	Suu	Slot 592	agrandrb
adsuu25	Suu	Slot 592	agrandbr
aeextort	Hanj	Slot 592	agrandrb
aegnoll	Gnoll	Slot 592	agrandbr
aemerhob	Hobgoblin Archer	Slot 600	agrandrb
aemess	Messenger	Slot 608	agrandrb
aesold	Soldier	Slot 600	agrandrb
aewere1	Fighter	Slot 600	agrandbr
aewere2	Fighter	Slot 600	agrandbr
aewere3	Fighter	Slot 600	agrandbr
aewere4	Fighter	Slot 600	agrandbr
aewere5	Fighter	Slot 600	agrandrb
aewere6	Fighter	Slot 600	agrandrb
agaluf02	Alu-Fiend	Slot 584	agrandbr
agcamb02	Cambion	Slot 584	agrandbr
aggob05	Goblin Chief	Slot 592	agrandbr
aggob06	Goblin Shaman	Slot 592	agrandbr
aggob07	Goblin Shaman	Slot 592	agrandbr
airaspec	Air Aspect	Slot 592	agrandbr
akae	Akae	Slot 608	agrandbr
alagar	Alagar	Slot 592	agrandrb
alar	Alar	Slot 592	agrandbr
alex	Sir Beverus	Slot 592	agrandbr
alhel	Alhelor	Slot 600	agrandbr
alufie01	Alu-Fiend	Slot 592	agrandbr
alust01	Alustriel	Slot 592	agrandnc
alust02	Alustriel	Slot 592	agrandrb
alust03	Alustriel	Slot 592	agrandrb
alynar	Sir Alynar	Slot 608	agrandbr
amarch01	Captain Erelon	Slot 592	agrandbr
amarch02	Mercenary	Slot 592	agrandrb
ambush01	Gatekeeper	Slot 584	agrandrb
amcapt01	Mercenary Captain	Slot 600	agrandrb
amcarras	Carras	Slot 608	agrandsr
amcst02	Mercenary	Slot 600	agrandrb
amcst03	Mercenary	Slot 600	agrandsh
amcst04	Mage	Slot 600	agrandrb
amduel03	Mercenary Captain	Slot 600	agrandbr
amfaheed	Faheed	Slot 600	agrandrb
amlich01	Vongoethe	Slot 592	agrandbr
ammag01	Mage	Slot 592	agrandbr
ammajira	Majira	Slot 592	agrandrb
ammerc01	Mercenary	Slot 600	agrandbr
ammerc02	Mercenary	Slot 592	agrandbr
ammerc03	Mercenary	Slot 600	agrandrb
ammerc04	Mercenary	Slot 600	agrandsw
ammerc07	Mercenary	Slot 584	agrandnc
ammerc08	Mercenary	Slot 584	agrandbr
ammerc09	Mercenary	Slot 584	agrandrb
ammgrd01	Monk	Slot 600	agrandrb
ammgrd02	Monk	Slot 608	agrandbr
